Тип занятия,Дата,Избранное,Название,Расстояние,Калории,Время,Средняя ЧП,Максимальная ЧП,Средняя скорость,Максимальная скорость,Общий подъем,Средняя длина шага,Среднее вертикальное соотношение,Среднее вертикальное колебание,Среднее время контакта с землей,Средняя частота вращения,Максимальная частота вращения,Normalized Power® (NP®),Training Stress Score®,Максимальная средняя мощность (20 минут),Средняя мощность,Максимальная мощность,Сложность,Флоу,Средний балл SWOLF,Средняя частота гребков,Общее число повторов,Общее время погружений,Минимальная температура,Поверхностный интервал,Декомпрессия,Время лучшего круга,Количество кругов,Максимальная температура,Расстояние,Время в движении,Истекшее время,Минимальная высота,Максимальная высота
Велотренажер,2023-10-09 06:01:30,false,"Без имени","32.79","548","00:53:16","138","159","36.9","67.8","258","0.00","0.0","0.0","0","86","128","218","0.0","216","177","715","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","53:15.100","1","0.0","32.79","00:53:10","00:53:15","-6","58"
Велотренажер,2023-10-08 05:19:16,false,"Без имени","32.96","686","01:27:20","124","157","22.6","152.6","1,093","0.00","0.0","0.0","0","71","102","182","0.0","217","137","260","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:27:19.67","1","0.0","32.96","01:27:02","01:27:18","7","1,047"
Велотренажер,2023-10-06 20:02:36,false,"Без имени","30.93","504","00:53:00","139","161","35.0","71.5","274","0.00","0.0","0.0","0","83","128","206","0.0","198","163","691","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","53:00.00","1","0.0","30.93","00:52:55","00:53:00","-6","100"
Велотренажер,2023-10-06 06:03:19,false,"Без имени","32.57","460","01:01:44","121","152","31.7","57.9","258","0.00","0.0","0.0","0","73","139","191","0.0","163","127","836","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:01:43.78","1","0.0","32.57","01:01:35","01:01:43","-6","58"
Велотренажер,2023-10-05 06:01:33,false,"Без имени","32.69","523","00:53:44","136","160","36.5","67.3","258","0.00","0.0","0.0","0","82","133","211","0.0","204","168","771","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","53:44.00","1","0.0","32.69","00:53:40","00:53:43","-6","58"
Велотренажер,2023-10-04 06:01:04,false,"Без имени","32.77","544","00:54:33","134","157","36.0","64.8","258","0.00","0.0","0.0","0","84","136","210","0.0","199","170","788","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","54:32.100","1","0.0","32.77","00:54:26","00:54:32","-6","58"
Велотренажер,2023-10-03 06:01:56,false,"Без имени","24.31","378","00:44:51","124","151","32.5","68.0","178","0.00","0.0","0.0","0","78","110","181","0.0","204","143","337","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","44:50.62","1","0.0","24.31","00:44:31","00:44:50","-6","100"
Велотренажер,2023-10-02 20:03:00,false,"Без имени","30.84","502","00:47:23","146","164","39.1","72.8","254","0.00","0.0","0.0","0","82","131","223","0.0","223","185","714","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","47:22.100","1","0.0","30.84","00:47:10","00:47:22","-6","58"
Велотренажер,2023-10-01 07:04:35,false,"Без имени","33.17","487","01:01:06","125","152","32.6","60.1","297","0.00","0.0","0.0","0","78","132","184","0.0","185","139","684","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:01:05.96","1","0.0","33.17","01:00:48","01:01:05","279","317"
Велотренажер,2023-09-30 07:04:36,false,"Без имени","34.38","564","00:59:59","139","161","34.4","59.7","303","0.00","0.0","0.0","0","83","132","204","0.0","217","162","692","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","59:59.00","1","0.0","34.38","00:59:55","00:59:58","279","317"
Велотренажер,2023-09-29 04:59:36,false,"Без имени","30.14","417","00:54:35","128","160","33.1","45.3","45","0.00","0.0","0.0","0","74","103","178","0.0","215","132","282","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","24:35.100","2","0.0","30.14","00:54:28","00:54:35","13","18"
Велотренажер,2023-09-28 19:59:36,false,"Без имени","30.33","478","00:46:30","147","169","39.1","56.5","46","0.00","0.0","0.0","0","85","128","222","0.0","241","179","542","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","16:30.100","2","0.0","30.33","00:46:25","00:46:30","13","18"
Велотренажер,2023-09-28 04:59:36,false,"Без имени","26.43","377","00:46:42","129","163","33.9","73.6","40","0.00","0.0","0.0","0","79","116","183","0.0","208","141","350","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","16:42.100","2","0.0","26.43","00:46:36","00:46:41","13","18"
Велотренажер,2023-09-27 20:04:38,false,"Без имени","30.57","461","00:54:49","142","169","33.5","60.0","253","0.00","0.0","0.0","0","84","137","197","0.0","178","146","738","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","54:49.00","1","0.0","30.57","00:54:30","00:54:48","279","317"
Велотренажер,2023-09-24 06:04:38,false,"Без имени","30.97","541","01:08:12","132","162","27.2","83.0","685","0.00","0.0","0.0","0","77","114","179","0.0","216","137","388","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:08:11.82","1","0.0","30.97","01:07:41","01:08:11","-6","516"
Велотренажер,2023-09-23 06:04:39,false,"Без имени","30.88","592","01:02:26","141","163","29.7","83.1","685","0.00","0.0","0.0","0","80","126","203","0.0","215","161","595","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:02:26.13","1","0.0","30.88","01:02:21","01:02:25","-6","516"
Велотренажер,2023-09-22 06:04:38,false,"Без имени","14.17","354","00:44:59","107","161","18.9","60.8","435","0.00","0.0","0.0","0","69","107","184","0.0","212","135","292","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","44:59.00","1","0.0","14.17","00:33:07","00:44:58","-6","373"
Велотренажер,2023-09-21 05:04:39,false,"Без имени","25.38","503","00:55:31","137","163","27.4","82.8","644","0.00","0.0","0.0","0","81","124","192","0.0","207","153","599","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","55:30.100","1","0.0","25.38","00:55:20","00:55:30","-6","516"
Велотренажер,2023-09-20 05:04:39,false,"Без имени","25.50","461","00:58:13","139","162","26.3","84.3","645","0.00","0.0","0.0","0","78","111","169","0.0","194","138","349","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","58:13.00","1","0.0","25.50","00:58:02","00:58:12","-6","516"
Велотренажер,2023-09-19 05:04:39,false,"Без имени","30.13","545","01:11:10","135","169","25.4","83.0","682","0.00","0.0","0.0","0","74","183","171","0.0","201","131","482","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:11:09.67","1","0.0","30.13","01:10:38","01:11:07","-6","516"
Велотренажер,2023-09-19 04:45:48,false,"Без имени","2.03","19","00:14:32","76","91","8.4","34.2","12","0.00","0.0","0.0","0","29","66","75","0.0","--","34","402","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","14:31.87","1","0.0","2.03","00:13:43","00:14:31","1","13"
Велотренажер,2023-09-17 05:05:18,false,"Без имени","37.70","767","01:31:55","119","160","24.6","78.4","616","0.00","0.0","0.0","0","66","133","172","0.0","188","120","2,000","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:31:54.68","1","0.0","37.70","01:26:37","01:31:53","279","696"
Велотренажер,2023-09-16 06:04:41,false,"Без имени","41.29","650","01:15:33","140","167","32.8","60.6","375","0.00","0.0","0.0","0","81","139","183","0.0","192","148","720","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:15:33.05","1","0.0","41.29","01:14:29","01:15:32","3","156"
